Lyra	1644411878318	249	59	239	53
Deribit	1644411901621	241.908	58.8855	230.76749999999998	57.294
Lyra	1644411905508	249	59	239	53
Deribit	1644411931619	241.92319999999998	58.889199999999995	230.78199999999998	57.297599999999996
Lyra	1644411937968	249	59	239	53
Deribit	1644411961714	242.07367999999997	58.92582999999999	230.92554999999996	57.33323999999999
Lyra	1644411968770	249	59	239	53
Deribit	1644411992190	245.5145	57.392999999999994	234.35475	55.798750000000005
Lyra	1644411999500	249	59	239	53
Deribit	1644412021942	245.51372999999998	57.39281999999999	234.35401499999998	55.798575
Lyra	1644412027180	252	58	242	52
Deribit	1644412051625	245.45443999999998	57.37895999999999	234.29741999999996	55.7851
Lyra	1644412057555	252	58	242	52
Deribit	1644412081640	247.09015000000002	58.98281	234.33711	55.79455000000001
Lyra	1644412088057	252	58	242	52
Deribit	1644412111685	247.128125	57.397499999999994	234.373125	55.80312500000001
Lyra	1644412115542	252	58	242	52
Deribit	1644412141662	247.197875	57.4137	234.43927499999998	55.818875000000006
Lyra	1644412145486	252	58	242	52
Deribit	1644412171641	247.286225	57.434219999999996	234.52306499999997	55.83882500000001
Lyra	1644412178026	252	58	242	52
Deribit	1644412201631	247.1475	57.401999999999994	234.39149999999998	55.807500000000005
Lyra	1644412205408	252	58	242	52
Deribit	1644412231629	249.054	57.474	234.6855	55.877500000000005
Lyra	1644412235450	254	57	244	51
Deribit	1644412261659	250.91583	57.534839999999996	238.13031	54.338460000000005
Lyra	1644412267984	254	57	244	51
Deribit	1644412291628	252.70836000000003	57.579119999999996	239.913	54.380280000000006
Deribit	1644412321640	255.95759999999999	57.59045999999999	241.55998499999998	52.791255
Lyra	1644412328877	256	57	246	51
Lyra	1644412331397	256	57	246	51
Deribit	1644412351623	256.15520000000004	57.634919999999994	241.74647	52.832010000000004
Lyra	1644412357461	256	57	246	51
Deribit	1644412381649	256.1384	56.030275	246.53321	52.828545000000005
Lyra	1644412385418	259	56	249	50
Deribit	1644412411659	261.17164	56.079800000000006	246.75112	52.875240000000005
Lyra	1644412415374	259	56	249	50
